iter	Passed	Remaining
928	3221	246
929	3224	242
930	3228	239
931	3231	235
932	3234	232
933	3237	228
934	3241	225
935	3245	221
936	3248	218
937	3251	214
938	3256	211
939	3260	208
940	3263	204
941	3266	201
942	3270	197
943	3273	194
944	3276	190
945	3279	187
946	3282	183
947	3286	180
948	3290	176
949	3293	173
950	3296	169
951	3299	166
952	3303	162
953	3307	159
954	3310	155
955	3313	152
956	3316	149
957	3320	145
958	3323	142
959	3326	138
960	3329	135
961	3332	131
962	3336	128
963	3339	124
964	3342	121
965	3346	117
966	3350	114
967	3353	110
968	3356	107
969	3360	103
970	3364	100
971	3367	97
972	3371	93
973	3374	90
974	3378	86
975	3382	83
976	3384	79
977	3387	76
978	3391	72
979	3395	69
980	3399	65
981	3402	62
982	3406	58
983	3410	55
984	3413	51
985	3416	48
986	3422	45
987	3425	41
988	3428	38
989	3431	34
990	3435	31
991	3440	27
992	3442	24
993	3445	20
994	3448	17
995	3451	13
996	3455	10
997	3458	6
998	3460	3
999	3467	0
